WILAYA,COMMUNE,ZONE_RPA,nb_polices,capital_B,pml_B,pml_to_capital_pct,zone_concentration_pct,DECISION,ACTION
ALGER,AIN BENIAN (ALGER),Zone III,867,3.371,1.011,29.99,1.1,ADJUST,Increase premium 15-30%
BOUMERDES,BOUMERDES,Zone III,544,3.252,0.976,30.01,1.1,ADJUST,Increase premium 15-30%
AIN DEFLA,TIBERKANINE,Zone IIb,506,3.24,0.648,20.0,8.4,ADJUST,"Strict underwriting, review case-by-case"
BOUMERDES,KHEMIS EL KHECHNA,Zone IIb,306,3.119,0.624,20.01,8.1,ADJUST,Increase premium 15-30%
ALGER,BOUZAREAH,Zone III,316,2.763,0.829,30.0,0.9,ADJUST,Increase premium 15-30%
ALGER,KHRAISSIA,Zone III,424,2.716,0.815,30.01,0.9,ADJUST,Increase premium 15-30%
ALGER,REGHAIA,Zone III,821,2.555,0.766,29.98,0.8,ADJUST,Increase premium 15-30%
AIN DEFLA,ARIB,Zone IIb,25,2.527,0.505,19.98,6.6,ADJUST,"Strict underwriting, review case-by-case"
ALGER,EL ACHOUR,Zone III,355,2.464,0.739,29.99,0.8,ADJUST,Increase premium 15-30%
ALGER,DRARIA,Zone III,422,2.456,0.737,30.01,0.8,ADJUST,Increase premium 15-30%
ALGER,BIR MOURAD RAIS,Zone III,541,2.38,0.714,30.0,0.8,ADJUST,Increase premium 15-30%
ALGER,SIDI MOUSSA,Zone III,409,2.359,0.708,30.01,0.8,ADJUST,Increase premium 15-30%
ALGER,MAHELMA,Zone III,420,2.344,0.703,29.99,0.8,ADJUST,Increase premium 15-30%
ALGER,ZERALDA,Zone III,612,2.342,0.703,30.02,0.8,ADJUST,Increase premium 15-30%
ALGER,HUSSEIN DEY,Zone III,190,2.301,0.69,29.99,0.8,ADJUST,Increase premium 15-30%
ALGER,EL HARRACH,Zone III,486,2.246,0.674,30.01,0.7,ADJUST,Increase premium 15-30%
BLIDA,OULED YAICH BLIDA,Zone III,820,2.164,0.649,29.99,0.7,ADJUST,Increase premium 15-30%
ALGER,OUED SMAR,Zone III,145,2.131,0.639,29.99,0.7,ADJUST,Increase premium 15-30%
ALGER,EL MOURADIA,Zone III,379,2.032,0.61,30.02,0.7,ADJUST,Increase premium 15-30%
BOUMERDES,DELLYS,Zone III,429,1.951,0.585,29.98,0.6,ADJUST,Increase premium 15-30%
TIPAZA,BOU ISMAIL,Zone III,341,1.714,0.514,29.99,0.6,ADJUST,Increase premium 15-30%
BOUMERDES,EL KHARROUBA,Zone IIb,18,1.706,0.341,19.99,4.4,ACCEPT,Maintain current exposure
ALGER,BORDJ EL BAHRI,Zone III,284,1.677,0.503,29.99,0.6,ADJUST,Increase premium 15-30%
BLIDA,LARBAA BLIDA,Zone IIb,77,1.642,0.328,19.98,4.3,ACCEPT,Maintain current exposure
ALGER,OULED CHEBEL,Zone III,182,1.607,0.482,29.99,0.5,ADJUST,Increase premium 15-30%
BLIDA,SOUMAA BLIDA,Zone III,265,1.456,0.437,30.01,0.5,ADJUST,Increase premium 15-30%
ALGER,SOUIDANIA,Zone III,328,1.455,0.437,30.03,0.5,ADJUST,Increase premium 15-30%
ALGER,SAOULA,Zone III,207,1.341,0.402,29.98,0.4,ADJUST,Increase premium 15-30%
ALGER,DJISR KSENTINA,Zone III,299,1.151,0.345,29.97,0.4,ADJUST,Increase premium 15-30%
BOUMERDES,CORSO,Zone III,75,1.115,0.334,29.96,0.4,ADJUST,Increase premium 15-30%
BOUMERDES,ISSER,Zone IIb,318,1.035,0.207,20.0,2.7,ACCEPT,Maintain current exposure
BLIDA,BOUFARIK,Zone III,325,1.024,0.307,29.98,0.3,ADJUST,Increase premium 15-30%
ALGER,BOUROUBA,Zone III,399,0.958,0.287,29.96,0.3,ADJUST,Increase premium 15-30%
TIZI OUZOU,MIZRANA,Zone IIb,76,0.952,0.19,19.96,2.5,ACCEPT,Maintain current exposure
ALGER,SIDI MHAMED ALGER,Zone III,223,0.891,0.267,29.97,0.3,ADJUST,Increase premium 15-30%
BOUMERDES,HAMMEDI,Zone IIb,105,0.887,0.177,19.95,2.3,ACCEPT,Maintain current exposure
CHLEF,OULED FARES,Zone III,9,0.865,0.26,30.06,0.3,ADJUST,Increase premium 15-30%
ALGER,HARAOUA,Zone III,215,0.828,0.249,30.07,0.3,ADJUST,Increase premium 15-30%
CHLEF,BOUKADIR,Zone IIb,190,0.817,0.163,19.95,2.1,ACCEPT,Maintain current exposure
BOUMERDES,BOUDOUAOU,Zone III,192,0.782,0.235,30.05,0.3,ADJUST,Increase premium 15-30%
ALGER,BACH DJERRAH,Zone III,289,0.781,0.234,29.96,0.3,ADJUST,Increase premium 15-30%
ALGER,AIN TAYA,Zone III,75,0.704,0.211,29.97,0.2,ADJUST,Increase premium 15-30%
TIPAZA,KHEMISTI TIPAZA,Zone III,70,0.648,0.194,29.94,0.2,ADJUST,Increase premium 15-30%
BOUMERDES,BAGHLIA,Zone IIb,96,0.647,0.129,19.94,1.7,ACCEPT,Maintain current exposure
BLIDA,BOUINAN,Zone III,224,0.607,0.182,29.98,0.2,ADJUST,Increase premium 15-30%
ALGER,BENI MESSOUS,Zone III,94,0.554,0.166,29.96,0.2,ADJUST,Increase premium 15-30%
ALGER,TESSALA,Zone III,32,0.541,0.162,29.94,0.2,ADJUST,Increase premium 15-30%
BLIDA,GUERROUAOU,Zone III,154,0.478,0.143,29.92,0.2,ADJUST,Increase premium 15-30%
BOUMERDES,BOUDOUAOU EL BAHRI,Zone III,87,0.477,0.143,29.98,0.2,ADJUST,Increase premium 15-30%
ALGER,BEN AKNOUN,Zone III,111,0.44,0.132,30.0,0.1,ADJUST,Increase premium 15-30%
BOUMERDES,THENIA,Zone III,45,0.439,0.132,30.07,0.1,ADJUST,Increase premium 15-30%
CHLEF,CHLEF,Zone III,126,0.435,0.13,29.89,0.1,ADJUST,Increase premium 15-30%
ALGER,BAB EL OUED,Zone III,118,0.432,0.13,30.09,0.1,ADJUST,Increase premium 15-30%
TIPAZA,BOURKIKA,Zone III,158,0.403,0.121,30.02,0.1,ADJUST,Increase premium 15-30%
BLIDA,BENI TAMOU,Zone III,99,0.399,0.12,30.08,0.1,ADJUST,Increase premium 15-30%
BLIDA,BENI MERED,Zone III,151,0.393,0.118,30.03,0.1,ADJUST,Increase premium 15-30%
TIPAZA,DOUAOUDA,Zone III,93,0.384,0.115,29.95,0.1,ADJUST,Increase premium 15-30%
TIPAZA,KOLEA,Zone III,111,0.378,0.113,29.89,0.1,ADJUST,Increase premium 15-30%
TIPAZA,MEURAD,Zone III,158,0.368,0.11,29.89,0.1,ADJUST,Increase premium 15-30%
BLIDA,CHEBLI,Zone III,55,0.351,0.105,29.91,0.1,ADJUST,Increase premium 15-30%
BLIDA,BOUGARA BLIDA,Zone IIb,110,0.34,0.068,20.0,0.9,ACCEPT,Maintain current exposure
ALGER,BOUMERDES,Zone III,64,0.337,0.101,29.97,0.1,ADJUST,Increase premium 15-30%
TIPAZA,AHMER EL AIN,Zone III,123,0.334,0.1,29.94,0.1,ADJUST,Increase premium 15-30%
AIN DEFLA,DJELIDA,Zone III,43,0.333,0.1,30.03,0.1,ADJUST,Increase premium 15-30%
BOUMERDES,ZEMMOURI,Zone III,43,0.322,0.097,30.12,0.1,ADJUST,Increase premium 15-30%
BOUMERDES,BORDJ MENAIEL,Zone IIb,89,0.319,0.064,20.06,0.8,ADJUST,Increase premium 15-30%
TIPAZA,CHERCHEL,Zone III,75,0.308,0.093,30.19,0.1,ADJUST,Increase premium 15-30%
TIPAZA,FOUKA,Zone III,66,0.286,0.086,30.07,0.1,ADJUST,Increase premium 15-30%
TIPAZA,NADOR,Zone III,88,0.278,0.083,29.86,0.1,ADJUST,Increase premium 15-30%
BOUMERDES,OULED HADJADJ,Zone III,67,0.274,0.082,29.93,0.1,ADJUST,Increase premium 15-30%
ALGER,RAIS HAMIDOU,Zone III,66,0.262,0.079,30.15,0.1,ADJUST,Increase premium 15-30%
ALGER,RAHMANIA,Zone III,63,0.261,0.078,29.89,0.1,ADJUST,Increase premium 15-30%
TIPAZA,GOURAYA,Zone III,94,0.259,0.078,30.12,0.1,ADJUST,Increase premium 15-30%
ALGER,EL MADANIA,Zone III,56,0.258,0.077,29.84,0.1,ADJUST,Increase premium 15-30%
ALGER,BOUFARIK,Zone III,23,0.235,0.07,29.79,0.1,ADJUST,Increase premium 15-30%
TIPAZA,SIDI RACHED,Zone III,90,0.228,0.068,29.82,0.1,ADJUST,Increase premium 15-30%
RELIZANE,OUED RHIOU,Zone IIb,4,0.221,0.044,19.91,0.6,ACCEPT,Maintain current exposure
BOUMERDES,NACIRIA,Zone IIb,27,0.22,0.044,20.0,0.6,ACCEPT,Maintain current exposure
ALGER,BEJAIA,Zone III,6,0.215,0.064,29.77,0.1,ADJUST,Increase premium 15-30%
ALGER,BAINS ROMAINS,Zone III,30,0.198,0.059,29.8,0.1,ADJUST,Increase premium 15-30%
AIN DEFLA,KHEMIS MILIANA,Zone III,25,0.188,0.056,29.79,0.1,ADJUST,Increase premium 15-30%
ALGER,AIN BENIAN (AIN DEFLA),Zone III,14,0.179,0.054,30.17,0.1,ADJUST,Increase premium 15-30%
BOUMERDES,AFIR,Zone IIb,28,0.176,0.035,19.89,0.5,ACCEPT,Maintain current exposure
TIPAZA,SIDI AMER,Zone III,75,0.176,0.053,30.11,0.1,ADJUST,Increase premium 15-30%
BOUMERDES,SIDI DAOUD,Zone III,71,0.174,0.052,29.89,0.1,ADJUST,Increase premium 15-30%
TIPAZA,AIN TAGOURAIT,Zone III,42,0.169,0.051,30.18,0.1,ADJUST,Increase premium 15-30%
ALGER,TASSALA EL MERDJA,Zone III,33,0.168,0.05,29.76,0.1,ADJUST,Increase premium 15-30%
ALGER,AIN NAGA,Zone III,45,0.168,0.05,29.76,0.1,ADJUST,Increase premium 15-30%
TIPAZA,MENACEUR,Zone III,68,0.168,0.05,29.76,0.1,ADJUST,Increase premium 15-30%
TIPAZA,DAMOUS,Zone III,44,0.158,0.048,30.38,0.1,ADJUST,Increase premium 15-30%
ALGER,BOUINAN,Zone III,40,0.157,0.047,29.94,0.1,ADJUST,Increase premium 15-30%
AIN DEFLA,ROUINA,Zone IIb,51,0.152,0.03,19.74,0.4,ACCEPT,Maintain current exposure
TIPAZA,CHAIBA,Zone III,30,0.151,0.045,29.8,0.0,ADJUST,Increase premium 15-30%
TIPAZA,SIDI AMAR TIPAZA,Zone III,30,0.138,0.042,30.43,0.0,ADJUST,Increase premium 15-30%
BOUMERDES,TAOURGA,Zone IIb,60,0.138,0.028,20.29,0.4,ADJUST,Increase premium 15-30%
ALGER,BOUDOUAOU,Zone III,20,0.137,0.041,29.93,0.0,ADJUST,Increase premium 15-30%
ALGER,BLIDA,Zone III,37,0.135,0.04,29.63,0.0,ADJUST,Increase premium 15-30%
BLIDA,MEFTAH,Zone IIb,39,0.135,0.027,20.0,0.4,ACCEPT,Maintain current exposure
CHLEF,OUED SLY,Zone IIb,54,0.134,0.027,20.15,0.3,ADJUST,Increase premium 15-30%
AIN DEFLA,EL AMRA,Zone IIb,48,0.131,0.026,19.85,0.3,ACCEPT,Maintain current exposure
ALGER,TIPAZA,Zone III,31,0.128,0.038,29.69,0.0,ADJUST,Increase premium 15-30%
TIPAZA,LARHAT,Zone III,37,0.128,0.038,29.69,0.0,ADJUST,Increase premium 15-30%
AIN DEFLA,BOURACHED,Zone IIb,48,0.127,0.025,19.69,0.3,ACCEPT,Maintain current exposure
BLIDA,BOUARFA,Zone III,51,0.124,0.037,29.84,0.0,ADJUST,Increase premium 15-30%
BLIDA,OUED EL ALLEUG,Zone III,41,0.123,0.037,30.08,0.0,ADJUST,Increase premium 15-30%
ALGER,BORDJ BOU ARRERIDJ,Zone III,2,0.121,0.036,29.75,0.0,ADJUST,Increase premium 15-30%
BOUMERDES,OULED HEDADJ,Zone III,37,0.115,0.034,29.57,0.0,ADJUST,Increase premium 15-30%
BLIDA,OULED SLAMA,Zone IIb,22,0.113,0.023,20.35,0.3,ADJUST,Increase premium 15-30%
ALGER,OULED MOUSSA,Zone III,19,0.111,0.033,29.73,0.0,ADJUST,Increase premium 15-30%
ALGER,CASBAH,Zone III,33,0.109,0.033,30.28,0.0,ADJUST,Increase premium 15-30%
TIPAZA,SIDI GHILES,Zone III,34,0.108,0.032,29.63,0.0,ADJUST,Increase premium 15-30%
CHLEF,TENES,Zone III,12,0.099,0.03,30.3,0.0,ADJUST,Increase premium 15-30%
TIPAZA,BOUHAROUN,Zone III,38,0.093,0.028,30.11,0.0,ADJUST,Increase premium 15-30%
CHLEF,OUED FODDA,Zone III,21,0.091,0.027,29.67,0.0,ADJUST,Increase premium 15-30%
BOUMERDES,BEN CHOUD,Zone IIb,40,0.087,0.017,19.54,0.2,ACCEPT,Maintain current exposure
ALGER,KOLEA,Zone III,11,0.085,0.025,29.41,0.0,ADJUST,Increase premium 15-30%
ALGER,EL MAGHARIA,Zone III,11,0.084,0.025,29.76,0.0,ADJUST,Increase premium 15-30%
ALGER,CHEBLI,Zone III,10,0.082,0.025,30.49,0.0,ADJUST,Increase premium 15-30%
ALGER,KHEMIS EL KHECHNA,Zone III,12,0.069,0.021,30.43,0.0,ADJUST,Increase premium 15-30%
TIPAZA,MESSELMOUN,Zone III,20,0.067,0.02,29.85,0.0,ADJUST,Increase premium 15-30%
AIN DEFLA,AIN BENIAN (AIN DEFLA),Zone III,6,0.065,0.02,30.77,0.0,ADJUST,Increase premium 15-30%
BLIDA,BEN KHELIL,Zone III,32,0.065,0.019,29.23,0.0,ADJUST,Increase premium 15-30%
BOUMERDES,SI MUSTAPHA,Zone III,27,0.063,0.019,30.16,0.0,ADJUST,Increase premium 15-30%
ALGER,OUED KORICHE,Zone III,16,0.062,0.019,30.65,0.0,ADJUST,Increase premium 15-30%
ALGER,BOU ISMAIL,Zone III,6,0.061,0.018,29.51,0.0,ADJUST,Increase premium 15-30%
BOUMERDES,REGHAIA,Zone III,8,0.061,0.018,29.51,0.0,ADJUST,Increase premium 15-30%
CHLEF,EL MARSA CHLEF,Zone III,3,0.061,0.018,29.51,0.0,ADJUST,Increase premium 15-30%
BLIDA,SIDI MOUSSA,Zone III,2,0.06,0.018,30.0,0.0,ADJUST,Increase premium 15-30%
ALGER,HAMMEDI,Zone III,14,0.056,0.017,30.36,0.0,ADJUST,Increase premium 15-30%
ALGER,BOLOGHINE IBN ZIRI,Zone III,22,0.056,0.017,30.36,0.0,ADJUST,Increase premium 15-30%
AIN DEFLA,AIN SOLTANE AIN DEFLA,Zone III,8,0.054,0.016,29.63,0.0,ADJUST,Increase premium 15-30%
BOUMERDES,DJINET,Zone III,17,0.053,0.016,30.19,0.0,ADJUST,Increase premium 15-30%
CHLEF,SOBHA,Zone III,26,0.047,0.014,29.79,0.0,ADJUST,Increase premium 15-30%
ALGER,MEFTAH,Zone III,15,0.046,0.014,30.43,0.0,ADJUST,Increase premium 15-30%
ALGER,MSILA,Zone III,4,0.045,0.014,31.11,0.0,ADJUST,Increase premium 15-30%
ALGER,LARBAA BLIDA,Zone III,8,0.045,0.014,31.11,0.0,ADJUST,Increase premium 15-30%
ALGER,HAMMAMET,Zone III,18,0.044,0.013,29.55,0.0,ADJUST,Increase premium 15-30%
AIN DEFLA,MEKHATRIA,Zone IIb,11,0.044,0.009,20.45,0.1,ADJUST,Increase premium 15-30%
ALGER,EL MARSA ALGER,Zone III,7,0.042,0.013,30.95,0.0,ADJUST,Increase premium 15-30%
AIN DEFLA,DJENDEL,Zone III,5,0.042,0.013,30.95,0.0,ADJUST,Increase premium 15-30%
MOSTAGANEM,OULED MAALAH,Zone IIb,2,0.039,0.008,20.51,0.1,ADJUST,Increase premium 15-30%
ALGER,DOUAOUDA,Zone III,10,0.038,0.011,28.95,0.0,ADJUST,Increase premium 15-30%
BLIDA,CHIFFA,Zone III,16,0.037,0.011,29.73,0.0,ADJUST,Increase premium 15-30%
CHLEF,EL KARIMIA,Zone IIb,18,0.036,0.007,19.44,0.1,ACCEPT,Maintain current exposure
TIPAZA,HATTATBA,Zone III,10,0.035,0.011,31.43,0.0,ADJUST,Increase premium 15-30%
AIN DEFLA,MILIANA,Zone IIb,8,0.035,0.007,20.0,0.1,ACCEPT,Maintain current exposure
AIN DEFLA,INCONNU,Zone III,7,0.033,0.01,30.3,0.0,ADJUST,Increase premium 15-30%
ALGER,CHERCHAR,Zone III,8,0.032,0.01,31.25,0.0,ADJUST,Increase premium 15-30%
TIPAZA,ECH CHAIBA,Zone III,3,0.031,0.009,29.03,0.0,ADJUST,Increase premium 15-30%
INCONNU,INCONNU,Zone III,10,0.03,0.009,30.0,0.0,ADJUST,Increase premium 15-30%
AIN DEFLA,ZEDDINE,Zone IIb,12,0.03,0.006,20.0,0.1,ACCEPT,Maintain current exposure
ALGER,GHARDAIA,Zone III,3,0.029,0.009,31.03,0.0,ADJUST,Increase premium 15-30%
CHLEF,CHETTIA,Zone III,9,0.028,0.008,28.57,0.0,ADJUST,Increase premium 15-30%
ALGER,TIZI OUZOU,Zone III,9,0.027,0.008,29.63,0.0,ADJUST,Increase premium 15-30%
BOUMERDES,SOUK EL KHEMIS,Zone III,4,0.025,0.008,32.0,0.0,ADJUST,Increase premium 15-30%
ALGER,EL MEHARA,Zone III,2,0.025,0.007,28.0,0.0,ADJUST,Increase premium 15-30%
CHLEF,AIN MERANE,Zone III,9,0.024,0.007,29.17,0.0,ADJUST,Increase premium 15-30%
AIN DEFLA,BORDJ EMIR KHALED,Zone III,2,0.022,0.007,31.82,0.0,ADJUST,Increase premium 15-30%
CHLEF,BENI RACHED,Zone III,8,0.022,0.006,27.27,0.0,ADJUST,Increase premium 15-30%
ALGER,GUERROUAOU,Zone III,2,0.022,0.006,27.27,0.0,ADJUST,Increase premium 15-30%
BOUMERDES,BENI AMRANE,Zone IIb,10,0.021,0.004,19.05,0.1,ACCEPT,Maintain current exposure
ALGER,OULED SLAMA,Zone III,2,0.021,0.006,28.57,0.0,ADJUST,Increase premium 15-30%
CHLEF,OUED GHOUSSINE,Zone III,6,0.021,0.006,28.57,0.0,ADJUST,Increase premium 15-30%
ALGER,BOUIRA,Zone III,4,0.02,0.006,30.0,0.0,ADJUST,Increase premium 15-30%
ALGER,DIDOUCHE MOURAD,Zone III,9,0.02,0.006,30.0,0.0,ADJUST,Increase premium 15-30%
ALGER,INCONNU,Zone III,7,0.02,0.006,30.0,0.0,ADJUST,Increase premium 15-30%
TIPAZA,HADJERET ENNOUS,Zone III,4,0.019,0.006,31.58,0.0,ADJUST,Increase premium 15-30%
ALGER,ADRAR,Zone III,4,0.019,0.006,31.58,0.0,ADJUST,Increase premium 15-30%
BOUMERDES,SOUK EL HAD BOUMERDES,Zone III,9,0.019,0.006,31.58,0.0,ADJUST,Increase premium 15-30%
ALGER,LARBATACHE,Zone III,4,0.018,0.005,27.78,0.0,ADJUST,Increase premium 15-30%
ALGER,TERRAI BAINEM,Zone III,9,0.018,0.005,27.78,0.0,ADJUST,Increase premium 15-30%
AIN DEFLA,TACHTA ZEGARRA,Zone III,5,0.018,0.005,27.78,0.0,ADJUST,Increase premium 15-30%
CHLEF,SOUMAA BLIDA,Zone III,1,0.018,0.005,27.78,0.0,ADJUST,Increase premium 15-30%
BLIDA,HADJOUT,Zone III,9,0.018,0.005,27.78,0.0,ADJUST,Increase premium 15-30%
BLIDA,EL AFFROUN,Zone III,8,0.018,0.005,27.78,0.0,ADJUST,Increase premium 15-30%
ALGER,BENI AMRANE,Zone III,2,0.018,0.005,27.78,0.0,ADJUST,Increase premium 15-30%
ALGER,BOUDOUAOU EL BAHRI,Zone III,4,0.017,0.005,29.41,0.0,ADJUST,Increase premium 15-30%
BOUMERDES,KHEMIS MILIANA,Zone III,4,0.016,0.005,31.25,0.0,ADJUST,Increase premium 15-30%
ALGER,BOGHNI,Zone III,3,0.015,0.004,26.67,0.0,ADJUST,Increase premium 15-30%
TIPAZA,ZERALDA,Zone III,5,0.015,0.005,33.33,0.0,ADJUST,Increase premium 15-30%
ALGER,DARGUINA,Zone III,3,0.015,0.005,33.33,0.0,ADJUST,Increase premium 15-30%
AIN DEFLA,TIBERGUENT,Zone III,2,0.014,0.004,28.57,0.0,ADJUST,Increase premium 15-30%
BOUMERDES,HAMADIA,Zone IIb,7,0.014,0.003,21.43,0.0,ADJUST,Increase premium 15-30%
TIPAZA,SIDI MOUSSA,Zone III,7,0.014,0.004,28.57,0.0,ADJUST,Increase premium 15-30%
ALGER,OULED HADJADJ,Zone III,2,0.013,0.004,30.77,0.0,ADJUST,Increase premium 15-30%
ALGER,SETIF,Zone III,4,0.012,0.004,33.33,0.0,ADJUST,Increase premium 15-30%
TIPAZA,MAHELMA,Zone III,3,0.012,0.004,33.33,0.0,ADJUST,Increase premium 15-30%
ALGER,DRAA ESSMAR,Zone III,3,0.012,0.004,33.33,0.0,ADJUST,Increase premium 15-30%
ALGER,MOSTAGANEM,Zone III,2,0.012,0.004,33.33,0.0,ADJUST,Increase premium 15-30%
ALGER,ORAN,Zone III,3,0.012,0.004,33.33,0.0,ADJUST,Increase premium 15-30%
BOUMERDES,HAMADI KROUMA,Zone III,1,0.012,0.003,25.0,0.0,ADJUST,Increase premium 15-30%
CHLEF,TAOUGRITE,Zone III,5,0.012,0.004,33.33,0.0,ADJUST,Increase premium 15-30%
BLIDA,OUED DJER,Zone III,4,0.011,0.003,27.27,0.0,ADJUST,Increase premium 15-30%
ALGER,KHEMIS MILIANA,Zone III,2,0.011,0.003,27.27,0.0,ADJUST,Increase premium 15-30%
AIN DEFLA,SIDI LAKHDAR AIN DEFLA,Zone III,3,0.011,0.003,27.27,0.0,ADJUST,Increase premium 15-30%
AIN DEFLA,HAMMAM RIGHA,Zone IIb,3,0.01,0.002,20.0,0.0,ACCEPT,Maintain current exposure
TIPAZA,BOUFARIK,Zone III,4,0.01,0.003,30.0,0.0,ADJUST,Increase premium 15-30%
ALGER,BABAR,Zone III,2,0.01,0.003,30.0,0.0,ADJUST,Increase premium 15-30%
ALGER,CHERCHEL,Zone III,1,0.01,0.003,30.0,0.0,ADJUST,Increase premium 15-30%
ALGER,CHERAGA MILA,Zone III,1,0.01,0.003,30.0,0.0,ADJUST,Increase premium 15-30%
BLIDA,OULED SELLAM,Zone IIb,1,0.01,0.002,20.0,0.0,ACCEPT,Maintain current exposure
TIPAZA,SIDI MHAMED ALGER,Zone III,4,0.01,0.003,30.0,0.0,ADJUST,Increase premium 15-30%
AIN DEFLA,EL MAYENE,Zone III,3,0.009,0.003,33.33,0.0,ADJUST,Increase premium 15-30%
MOSTAGANEM,ACHAACHA,Zone III,3,0.009,0.003,33.33,0.0,ADJUST,Increase premium 15-30%
AIN DEFLA,BOUMEDFAA,Zone IIb,5,0.009,0.002,22.22,0.0,ADJUST,Increase premium 15-30%
TIPAZA,SOUIDANIA,Zone III,2,0.009,0.003,33.33,0.0,ADJUST,Increase premium 15-30%
CHLEF,OULED ABBES,Zone III,3,0.009,0.003,33.33,0.0,ADJUST,Increase premium 15-30%
ALGER,EL BORDJ,Zone III,1,0.009,0.003,33.33,0.0,ADJUST,Increase premium 15-30%
TIPAZA,EL HARRACH,Zone III,3,0.008,0.002,25.0,0.0,ADJUST,Increase premium 15-30%
TIPAZA,CHERAGA ALGER,Zone III,2,0.008,0.002,25.0,0.0,ADJUST,Increase premium 15-30%
BLIDA,HUSSEIN DEY,Zone III,2,0.008,0.002,25.0,0.0,ADJUST,Increase premium 15-30%
ALGER,TAMANRASSET,Zone III,1,0.008,0.002,25.0,0.0,ADJUST,Increase premium 15-30%
TIPAZA,EL BIAR,Zone III,3,0.008,0.002,25.0,0.0,ADJUST,Increase premium 15-30%
AIN DEFLA,EL MAIN,Zone III,3,0.008,0.002,25.0,0.0,ADJUST,Increase premium 15-30%
ALGER,BORDJ MENAIEL,Zone III,1,0.007,0.002,28.57,0.0,ADJUST,Increase premium 15-30%
AIN DEFLA,TAMZOUGHA,Zone III,2,0.007,0.002,28.57,0.0,ADJUST,Increase premium 15-30%
BOUMERDES,LAGHATA,Zone III,3,0.007,0.002,28.57,0.0,ADJUST,Increase premium 15-30%
BLIDA,OULED YAICH RELIZANE,Zone III,2,0.007,0.002,28.57,0.0,ADJUST,Increase premium 15-30%
ALGER,BOUZGUEN,Zone III,1,0.007,0.002,28.57,0.0,ADJUST,Increase premium 15-30%
ALGER,EL ACHIR,Zone III,1,0.007,0.002,28.57,0.0,ADJUST,Increase premium 15-30%
